id,mmsi,navigationalstatus,sog,cog,heading,shiptype
0,485712797,Unknown value,0,86,86,Military
1,547542754,Unknown value,0,334.5,,Military
2,757005632,Unknown value,0,208.7,,Military
3,502721403,Unknown value,0,,,Military
4,613789556,Moored,0,153,106,Military
5,208520985,At anchor,0.1,43.9,286,Tanker
6,640690376,Unknown value,0,0,,Tanker
7,176383999,At anchor,0,3.8,293,Cargo
8,360490896,Moored,0,285.1,225,Tanker
9,113396390,Unknown value,0,0,,Cargo
10,601709275,Unknown value,0.1,,,Bulk Carrier
11,689473591,Moored,0,353.9,100,Military
12,849829527,Unknown value,0,93.7,93,Warship
13,197321006,Unknown value,0,8.7,,Military
14,149015188,Unknown value,0,308.4,,Military
15,666335293,Moored,0,327.5,242,Cargo
16,386422375,Unknown value,0,,,Tanker
17,947302097,Unknown value,0,224.1,,Cargo
18,451286738,Unknown value,0,,,Tanker
19,362184748,At anchor,0,97.8,222,Bulk Carrier
20,145914317,Unknown value,0.1,,,Bulk Carrier
21,866301469,Unknown value,0,,,Bulk Carrier
22,419463686,Unknown value,0,0,,SAR
23,908961439,Unknown value,0,,,Military
24,311579763,Moored,0,283.1,223,Warship
25,312516306,Unknown value,0,0,,Bulk Carrier
26,429400969,Unknown value,0.1,,,Tanker
27,351870837,Unknown value,0,0,,Tanker
28,704708026,At anchor,0,358.5,279,Bulk Carrier
29,509673937,Unknown value,0,268,,Cargo
30,896962195,Unknown value,0.3,,,SAR
31,147265211,Unknown value,0,0,,SAR
32,412571609,Unknown value,0,0,,SAR
33,983532278,Moored,0,329.8,60,Military
34,525977263,Moored,0,276.7,112,Tanker
35,422393466,Moored,0,354,45,Tanker
36,980234788,Moored,0,171.6,42,Cargo
37,370632508,Moored,0,357.4,262,Military
38,405969881,Moored,0,349.3,288,Tanker
39,754204674,Unknown value,0,,,SAR
40,292696809,Unknown value,0,216.5,,Tanker
41,366944271,Moored,0,185.4,166,Military
42,929892449,Under way using engine,13.4,34.1,34,SAR
43,677410874,Moored,0,,,Tanker
44,817539242,Unknown value,0.1,207,,Cargo
45,233089272,At anchor,0,69.1,41,Tanker
46,457540620,Unknown value,0.1,351.6,,Tanker
47,634168391,Moored,0,323.9,36,Military
48,469933119,Unknown value,0,,,Bulk Carrier
49,834261455,Moored,0,220.7,60,SAR
50,681670744,Unknown value,0,343.4,343,Cargo
51,889445951,Unknown value,0.1,286.3,,Cargo
52,820329691,Moored,0,17,51,SAR
53,803655803,Under way using engine,12.6,137.4,137,Cargo
54,223194297,Moored,0,20.2,,Military
55,563270136,Unknown value,0,,,Military
56,407500615,Moored,0,200,238,Cargo
57,974863805,Unknown value,0,0,,Military
58,483599741,Moored,0.1,150.9,241,Cargo
59,654367358,Unknown value,0,,,Military
60,541728253,Unknown value,0,,,Tanker
61,900631028,Unknown value,0,310.2,,SAR
62,828298660,Moored,0,248.6,38,SAR
63,962376954,Unknown value,0,318,,Cargo
64,323200122,Moored,0,186.5,229,Bulk Carrier
65,519234305,Unknown value,0,314.3,,SAR
66,255225737,Unknown value,0,,,Bulk Carrier
67,811118682,Unknown value,0.2,9.5,,SAR
68,884611226,Moored,0,30.1,145,Military
69,577118879,Unknown value,0,,,Warship
70,362891243,Under way using engine,8.6,333.1,336,Cargo
71,921645866,Unknown value,0,179.3,,Tanker
72,163052465,Unknown value,0,0,,Cargo
73,104810552,Unknown value,0,320.7,,Tanker
74,553491099,Unknown value,0,153,,Warship
75,176678645,Moored,0,195.6,101,SAR
76,683980948,Unknown value,0,75.5,,Bulk Carrier
77,433136613,Unknown value,0,0,,Cargo
78,441880093,Unknown value,0.2,,,Bulk Carrier
79,218304741,Moored,0,295.2,1,Military
80,686593086,Unknown value,0,,,SAR
81,162925261,Moored,0,334.3,33,SAR
82,120520892,Moored,0,60,309,SAR
83,896864814,Moored,0,0,61,Tanker
84,135737005,Unknown value,0,71.3,,Warship
85,458192211,Unknown value,0,212,,Cargo
86,885325655,Under way using engine,11.8,337.4,339,Tanker
87,651191354,Under way using engine,12.7,210.1,212,Warship
88,988753549,Moored,0,,,Warship
89,309462258,Unknown value,0,,,Warship
90,122390491,Unknown value,0.1,144,,Cargo
91,190497913,Under way using engine,13.4,32,33,Bulk Carrier
92,301885794,Moored,0,104,323,Cargo
93,385625644,Unknown value,0,191.2,,Warship
94,345448424,Unknown value,0,205.9,,Military
95,607229749,Under way using engine,11.9,337.8,337,Cargo
96,481008320,Moored,0,182.8,280,Warship
97,937304032,Moored,0.1,163.9,34,Bulk Carrier
98,925136143,Under way using engine,10.3,341.4,340,Military
99,461531378,Under way using engine,14.5,161.3,162,Cargo
100,837912967,Under way using engine,11.7,316.3,314,Cargo
101,627099795,Moored,0,328.3,,SAR
102,244581840,Under way using engine,8.7,266,267,Cargo
103,593326219,Unknown value,0,40.1,,Bulk Carrier
104,855814241,Under way using engine,17,184.6,183,Cargo
105,388797219,Unknown value,0,26.6,,SAR
106,719236464,Moored,0,143.9,,Tanker
107,155419640,Moored,0,195.6,96,Warship
108,379309301,Under way using engine,9.9,345.8,347,Military
109,492141532,Unknown value,0,0,,Bulk Carrier
110,843359174,Moored,0,13.7,97,SAR
111,982328252,Under way using engine,10,349.4,350,Tanker
112,654297297,Under way using engine,9.3,185.5,186,Bulk Carrier
113,589575309,Under way using engine,7.1,161.8,165,Tanker
114,717621605,Moored,0,318,318,Cargo
115,546299153,Unknown value,0.1,256.8,,Bulk Carrier
116,154034620,Unknown value,0,0,,Military
117,957203598,Unknown value,0,31.4,,Warship
118,131598729,Unknown value,0.1,,,Warship
119,892654071,Under way using engine,11.6,315.8,314,Warship
120,444745638,Under way using engine,8.9,344.3,341,Bulk Carrier
121,442282679,Under way using engine,12.8,210.3,212,Bulk Carrier
122,580181664,Unknown value,0,,,Cargo
123,435664104,Under way using engine,13.6,341.1,338,Bulk Carrier
124,654449417,Unknown value,0.1,,,Tanker
125,531741483,Unknown value,0,,,Military
126,605945175,Under way using engine,12.2,343.8,342,Warship
127,340400902,Unknown value,0.2,2.5,,Bulk Carrier
128,245817744,Under way using engine,9.4,278.9,277,SAR
129,115253421,Under way using engine,8.5,316.3,316,Tanker
130,267051267,Constrained by her draught,11.7,37.9,36,Cargo
131,283317424,Under way using engine,14.7,92.8,92,Cargo
132,361148406,Under way using engine,12.8,139,139,SAR
133,882396222,Unknown value,0,294.6,,Warship
134,707525245,Unknown value,0,0,0,Tanker
135,539957991,Under way using engine,10.1,135.8,137,Cargo
136,603027836,Moored,0,238,238,Warship
137,966948755,Under way using engine,11.1,341,338,Tanker
138,139511753,Constrained by her draught,12.8,340.7,338,Bulk Carrier
139,775130062,Unknown value,0,,,Tanker
140,816058961,Under way using engine,9.2,5.8,14,Bulk Carrier
141,404538155,Under way using engine,11.2,328.4,326,Cargo
142,368753534,Unknown value,0,,,Cargo
143,701668696,Under way using engine,11.1,164,165,SAR
144,190329643,Under way using engine,11.3,327.7,326,Cargo
145,875336446,Under way using engine,7,234.1,228,Tanker
146,634669204,Under way using engine,14.4,137.2,134,Military
